,paircolors,pairshapes,pairstripes,item1name,item1features,item2name,item2feature,colormatch,shapematch,stripematch,colshstr_match,mybinary,totalmatch
34,"('blue', 'blue')","('triangle', 'circle')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",7,"{'color': 'blue', 'shape': 'circle', 'stripes': 'horizontal'}",1,0,0,100,100,1
35,"('blue', 'blue')","('triangle', 'circle')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",8,"{'color': 'blue', 'shape': 'circle', 'stripes': 'vertical'}",1,0,1,101,101,2
36,"('blue', 'blue')","('triangle', 'circle')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",9,"{'color': 'blue', 'shape': 'circle', 'stripes': 'diagonal'}",1,0,0,100,100,1
37,"('blue', 'green')","('triangle', 'triangle')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",10,"{'color': 'green', 'shape': 'triangle', 'stripes': 'horizontal'}",0,1,0,010,10,1
38,"('blue', 'green')","('triangle', 'triangle')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",11,"{'color': 'green', 'shape': 'triangle', 'stripes': 'vertical'}",0,1,1,011,11,2
39,"('blue', 'green')","('triangle', 'triangle')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",12,"{'color': 'green', 'shape': 'triangle', 'stripes': 'diagonal'}",0,1,0,010,10,1
40,"('blue', 'green')","('triangle', 'square')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",13,"{'color': 'green', 'shape': 'square', 'stripes': 'horizontal'}",0,0,0,000,0,0
41,"('blue', 'green')","('triangle', 'square')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",14,"{'color': 'green', 'shape': 'square', 'stripes': 'vertical'}",0,0,1,001,1,1
42,"('blue', 'green')","('triangle', 'square')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",15,"{'color': 'green', 'shape': 'square', 'stripes': 'diagonal'}",0,0,0,000,0,0
43,"('blue', 'green')","('triangle', 'circle')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",16,"{'color': 'green', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,0,000,0,0
44,"('blue', 'green')","('triangle', 'circle')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",17,"{'color': 'green', 'shape': 'circle', 'stripes': 'vertical'}",0,0,1,001,1,1
45,"('blue', 'green')","('triangle', 'circle')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",18,"{'color': 'green', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,0,000,0,0
46,"('blue', 'red')","('triangle', 'triangle')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",19,"{'color': 'red', 'shape': 'triangle', 'stripes': 'horizontal'}",0,1,0,010,10,1
47,"('blue', 'red')","('triangle', 'triangle')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",20,"{'color': 'red', 'shape': 'triangle', 'stripes': 'vertical'}",0,1,1,011,11,2
48,"('blue', 'red')","('triangle', 'triangle')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",21,"{'color': 'red', 'shape': 'triangle', 'stripes': 'diagonal'}",0,1,0,010,10,1
49,"('blue', 'red')","('triangle', 'square')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",22,"{'color': 'red', 'shape': 'square', 'stripes': 'horizontal'}",0,0,0,000,0,0
50,"('blue', 'red')","('triangle', 'square')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",23,"{'color': 'red', 'shape': 'square', 'stripes': 'vertical'}",0,0,1,001,1,1
51,"('blue', 'red')","('triangle', 'square')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",24,"{'color': 'red', 'shape': 'square', 'stripes': 'diagonal'}",0,0,0,000,0,0
52,"('blue', 'red')","('triangle', 'circle')","('vertical', 'horizontal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",25,"{'color': 'red', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,0,000,0,0
53,"('blue', 'red')","('triangle', 'circle')","('vertical', 'vertical')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",26,"{'color': 'red', 'shape': 'circle', 'stripes': 'vertical'}",0,0,1,001,1,1
54,"('blue', 'red')","('triangle', 'circle')","('vertical', 'diagonal')",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",27,"{'color': 'red', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,0,000,0,0
55,"('blue', 'blue')","('triangle', 'triangle')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",1,1,0,110,110,2
56,"('blue', 'blue')","('triangle', 'triangle')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",1,1,0,110,110,2
57,"('blue', 'blue')","('triangle', 'triangle')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",1,1,1,111,111,3
58,"('blue', 'blue')","('triangle', 'square')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",1,0,0,100,100,1
59,"('blue', 'blue')","('triangle', 'square')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",1,0,0,100,100,1
60,"('blue', 'blue')","('triangle', 'square')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",6,"{'color': 'blue', 'shape': 'square', 'stripes': 'diagonal'}",1,0,1,101,101,2
61,"('blue', 'blue')","('triangle', 'circle')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",7,"{'color': 'blue', 'shape': 'circle', 'stripes': 'horizontal'}",1,0,0,100,100,1
62,"('blue', 'blue')","('triangle', 'circle')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",8,"{'color': 'blue', 'shape': 'circle', 'stripes': 'vertical'}",1,0,0,100,100,1
63,"('blue', 'blue')","('triangle', 'circle')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",9,"{'color': 'blue', 'shape': 'circle', 'stripes': 'diagonal'}",1,0,1,101,101,2
64,"('blue', 'green')","('triangle', 'triangle')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",10,"{'color': 'green', 'shape': 'triangle', 'stripes': 'horizontal'}",0,1,0,010,10,1
65,"('blue', 'green')","('triangle', 'triangle')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",11,"{'color': 'green', 'shape': 'triangle', 'stripes': 'vertical'}",0,1,0,010,10,1
66,"('blue', 'green')","('triangle', 'triangle')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",12,"{'color': 'green', 'shape': 'triangle', 'stripes': 'diagonal'}",0,1,1,011,11,2
67,"('blue', 'green')","('triangle', 'square')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",13,"{'color': 'green', 'shape': 'square', 'stripes': 'horizontal'}",0,0,0,000,0,0
68,"('blue', 'green')","('triangle', 'square')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",14,"{'color': 'green', 'shape': 'square', 'stripes': 'vertical'}",0,0,0,000,0,0
69,"('blue', 'green')","('triangle', 'square')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",15,"{'color': 'green', 'shape': 'square', 'stripes': 'diagonal'}",0,0,1,001,1,1
70,"('blue', 'green')","('triangle', 'circle')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",16,"{'color': 'green', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,0,000,0,0
71,"('blue', 'green')","('triangle', 'circle')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",17,"{'color': 'green', 'shape': 'circle', 'stripes': 'vertical'}",0,0,0,000,0,0
72,"('blue', 'green')","('triangle', 'circle')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",18,"{'color': 'green', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,1,001,1,1
73,"('blue', 'red')","('triangle', 'triangle')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",19,"{'color': 'red', 'shape': 'triangle', 'stripes': 'horizontal'}",0,1,0,010,10,1
74,"('blue', 'red')","('triangle', 'triangle')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",20,"{'color': 'red', 'shape': 'triangle', 'stripes': 'vertical'}",0,1,0,010,10,1
75,"('blue', 'red')","('triangle', 'triangle')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",21,"{'color': 'red', 'shape': 'triangle', 'stripes': 'diagonal'}",0,1,1,011,11,2
76,"('blue', 'red')","('triangle', 'square')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",22,"{'color': 'red', 'shape': 'square', 'stripes': 'horizontal'}",0,0,0,000,0,0
77,"('blue', 'red')","('triangle', 'square')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",23,"{'color': 'red', 'shape': 'square', 'stripes': 'vertical'}",0,0,0,000,0,0
78,"('blue', 'red')","('triangle', 'square')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",24,"{'color': 'red', 'shape': 'square', 'stripes': 'diagonal'}",0,0,1,001,1,1
79,"('blue', 'red')","('triangle', 'circle')","('diagonal', 'horizontal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",25,"{'color': 'red', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,0,000,0,0
80,"('blue', 'red')","('triangle', 'circle')","('diagonal', 'vertical')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",26,"{'color': 'red', 'shape': 'circle', 'stripes': 'vertical'}",0,0,0,000,0,0
81,"('blue', 'red')","('triangle', 'circle')","('diagonal', 'diagonal')",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",27,"{'color': 'red', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,1,001,1,1
82,"('blue', 'blue')","('square', 'triangle')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",1,0,1,101,101,2
83,"('blue', 'blue')","('square', 'triangle')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",1,0,0,100,100,1
84,"('blue', 'blue')","('square', 'triangle')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",1,0,0,100,100,1
85,"('blue', 'blue')","('square', 'square')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",1,1,1,111,111,3
86,"('blue', 'blue')","('square', 'square')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",1,1,0,110,110,2
87,"('blue', 'blue')","('square', 'square')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",6,"{'color': 'blue', 'shape': 'square', 'stripes': 'diagonal'}",1,1,0,110,110,2
88,"('blue', 'blue')","('square', 'circle')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",7,"{'color': 'blue', 'shape': 'circle', 'stripes': 'horizontal'}",1,0,1,101,101,2
89,"('blue', 'blue')","('square', 'circle')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",8,"{'color': 'blue', 'shape': 'circle', 'stripes': 'vertical'}",1,0,0,100,100,1
90,"('blue', 'blue')","('square', 'circle')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",9,"{'color': 'blue', 'shape': 'circle', 'stripes': 'diagonal'}",1,0,0,100,100,1
91,"('blue', 'green')","('square', 'triangle')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",10,"{'color': 'green', 'shape': 'triangle', 'stripes': 'horizontal'}",0,0,1,001,1,1
92,"('blue', 'green')","('square', 'triangle')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",11,"{'color': 'green', 'shape': 'triangle', 'stripes': 'vertical'}",0,0,0,000,0,0
93,"('blue', 'green')","('square', 'triangle')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",12,"{'color': 'green', 'shape': 'triangle', 'stripes': 'diagonal'}",0,0,0,000,0,0
94,"('blue', 'green')","('square', 'square')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",13,"{'color': 'green', 'shape': 'square', 'stripes': 'horizontal'}",0,1,1,011,11,2
95,"('blue', 'green')","('square', 'square')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",14,"{'color': 'green', 'shape': 'square', 'stripes': 'vertical'}",0,1,0,010,10,1
96,"('blue', 'green')","('square', 'square')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",15,"{'color': 'green', 'shape': 'square', 'stripes': 'diagonal'}",0,1,0,010,10,1
97,"('blue', 'green')","('square', 'circle')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",16,"{'color': 'green', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,1,001,1,1
98,"('blue', 'green')","('square', 'circle')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",17,"{'color': 'green', 'shape': 'circle', 'stripes': 'vertical'}",0,0,0,000,0,0
99,"('blue', 'green')","('square', 'circle')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",18,"{'color': 'green', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,0,000,0,0
100,"('blue', 'red')","('square', 'triangle')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",19,"{'color': 'red', 'shape': 'triangle', 'stripes': 'horizontal'}",0,0,1,001,1,1
101,"('blue', 'red')","('square', 'triangle')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",20,"{'color': 'red', 'shape': 'triangle', 'stripes': 'vertical'}",0,0,0,000,0,0
102,"('blue', 'red')","('square', 'triangle')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",21,"{'color': 'red', 'shape': 'triangle', 'stripes': 'diagonal'}",0,0,0,000,0,0
103,"('blue', 'red')","('square', 'square')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",22,"{'color': 'red', 'shape': 'square', 'stripes': 'horizontal'}",0,1,1,011,11,2
104,"('blue', 'red')","('square', 'square')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",23,"{'color': 'red', 'shape': 'square', 'stripes': 'vertical'}",0,1,0,010,10,1
105,"('blue', 'red')","('square', 'square')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",24,"{'color': 'red', 'shape': 'square', 'stripes': 'diagonal'}",0,1,0,010,10,1
106,"('blue', 'red')","('square', 'circle')","('horizontal', 'horizontal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",25,"{'color': 'red', 'shape': 'circle', 'stripes': 'horizontal'}",0,0,1,001,1,1
107,"('blue', 'red')","('square', 'circle')","('horizontal', 'vertical')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",26,"{'color': 'red', 'shape': 'circle', 'stripes': 'vertical'}",0,0,0,000,0,0
108,"('blue', 'red')","('square', 'circle')","('horizontal', 'diagonal')",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",27,"{'color': 'red', 'shape': 'circle', 'stripes': 'diagonal'}",0,0,0,000,0,0
109,"('blue', 'blue')","('square', 'triangle')","('vertical', 'horizontal')",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",1,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'horizontal'}",1,0,0,100,100,1
110,"('blue', 'blue')","('square', 'triangle')","('vertical', 'vertical')",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",2,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'vertical'}",1,0,1,101,101,2
111,"('blue', 'blue')","('square', 'triangle')","('vertical', 'diagonal')",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",3,"{'color': 'blue', 'shape': 'triangle', 'stripes': 'diagonal'}",1,0,0,100,100,1
112,"('blue', 'blue')","('square', 'square')","('vertical', 'horizontal')",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",4,"{'color': 'blue', 'shape': 'square', 'stripes': 'horizontal'}",1,1,0,110,110,2
113,"('blue', 'blue')","('square', 'square')","('vertical', 'vertical')",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",1,1,1,111,111,3
114,"('blue', 'blue')","('square', 'square')","('vertical', 'diagonal')",5,"{'color': 'blue', 'shape': 'square', 'stripes': 'vertical'}",6,"{'color': 'blue', 'shape': 'square', 'stripes': 'diagonal'}",1,1,0,110,110,2
